year,month,circ_type
1971,1,"['TRM', 'TRM', 'TRM', 'TRM', 'SWA', 'SWA', 'SWA', 'SWA', 'SWA', 'SWA', 'HM', 'HM', 'HM', 'HM', 'WA', 'WA', 'WA', 'WA', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'TRW', 'TRW', 'TRW']"
1972,1,"['HNFA', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'WW', 'WW', 'WW', 'BM', 'BM', 'BM', 'WW', 'WW', 'WW', 'HFZ', 'HFZ', 'HFZ', 'HFZ']"
1973,1,"['BM', 'BM', 'BM', 'BM', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HM', 'HM', 'HM', 'SZ', 'SZ', 'SZ', 'SZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'BM', 'BM', 'BM', 'BM', 'NWZ', 'NWZ', 'NWZ', 'WW', 'WW']"
1974,1,"['WA', 'SA', 'SA', 'SA', 'SA', 'WW', 'WW', 'WW', 'WW', 'WW', 'WW', 'WW', 'WW', 'WW', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'BM', 'BM', 'BM', 'BM', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SA', 'SA']"
1975,1,"['WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'SWA', 'SWA', 'SWA', 'SWA', 'SWA', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'SWZ', 'SWZ']"
1976,1,"['WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WA', 'WA', 'WA', 'WZ', 'WZ', 'WZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'NZ', 'NZ', 'NZ', 'NZ', 'HFA', 'HFA', 'HFA', 'HFA']"
1977,1,"['SZ', 'SZ', 'BM', 'BM', 'BM', 'BM', 'NWZ', 'NWZ', 'NWZ', 'TRW', 'TRW', 'TRW', 'WS', 'WS', 'WS', 'WS', 'U', 'SZ', 'SZ', 'SZ', 'SZ', 'WS', 'WS', 'WS', 'SWZ', 'SWZ', 'SWZ', 'WS', 'WS', 'WS', 'BM']"
1978,1,"['WZ', 'WZ', 'WZ', 'WZ', 'BM', 'BM', 'BM', 'BM', 'BM', 'WZ', 'WZ', 'WZ', 'BM', 'BM', 'BM', 'BM', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'TRM', 'TRM']"
1979,1,"['NA', 'NA', 'NA', 'NA', 'BM', 'BM', 'BM', 'BM', 'WZ', 'WZ', 'WZ', 'WZ', 'NA', 'NA', 'NA', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'SEA', 'SEA', 'SEA', 'SEA', 'U', 'SWZ', 'SWZ', 'SWZ', 'TB', 'TB', 'TB', 'WZ']"
1980,1,"['NZ', 'NZ', 'NZ', 'WW', 'WW', 'WW', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'SEA', 'SEA', 'SEA', 'TB', 'TB', 'TB', 'WS', 'WS', 'WS', 'NZ', 'NZ', 'NZ', 'WZ', 'WZ']"
1940,2,"['SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'HFA', 'HFA', 'HFA', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'U', 'WZ', 'WZ', 'WZ', 'SWA', 'SWA', 'SWA', 'SWA', 'SWA', 'SWA', 'SWZ', 'SWZ', 'SWZ', 'HB']"
1941,2,"['SEA', 'NEZ', 'NEZ', 'NEZ', 'NEZ', 'NEZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'TB', 'TB', 'TB', 'TB', 'TB', 'TB', 'TB', 'TM', 'TM', 'TM', 'WS', 'WS', 'WS', 'WS', 'WS', 'SWZ', 'SWZ']"
1942,2,"['HFA', 'HFA', 'HFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'TM', 'TM', 'TM', 'HNA', 'HNA', 'HNA']"
1943,2,"['SWZ', 'SWZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWA', 'NWA', 'NWA', 'NWA', 'HM', 'HM', 'HM', 'BM', 'BM', 'BM', 'BM', 'BM']"
1944,2,"['WA', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'NEA', 'NEA', 'NEA', 'NEA', 'NEA', 'NEA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'TRM', 'TRM', 'TRM', 'TRM']"
1945,2,"['WZ', 'WZ', 'WZ', 'WA', 'WA', 'WA', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'HM', 'HM', 'HM', 'HM', 'HM', 'BM', 'BM', 'BM', 'BM', 'BM', 'WA', 'WA', 'WA', 'WA']"
1946,2,"['WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'HB', 'HB', 'HB', 'HB', 'HB', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'SZ', 'SZ', 'SZ']"
1947,2,"['SEA', 'SEA', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ']"
1948,2,"['SWZ', 'SWZ', 'SWZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'BM', 'BM', 'BM', 'BM', 'BM', 'U', 'HFA', 'HFA', 'HFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM']"
1949,2,"['HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'WZ', 'WZ', 'WZ', 'WA', 'WA', 'WA', 'WA', 'WA', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'WA', 'WA', 'WA', 'WA', 'WA', 'NZ', 'NZ']"
1950,2,"['SZ', 'SZ', 'SZ', 'SZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'HM', 'HM', 'HM', 'HM', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'TRM', 'TRM', 'TRM']"
1951,2,"['NEA', 'NEA', 'NEA', 'TB', 'TB', 'TB', 'TB', 'TB', 'TRW', 'TRW', 'TRW', 'TRW', 'WW', 'WW', 'WW', 'WW', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'TRM', 'TRM', 'TRM', 'TRM']"
1952,2,"['WZ', 'WZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NZ', 'NZ', 'NZ', 'NZ', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'HB', 'HB', 'HB', 'NWA', 'NWA', 'NWA', 'NWA', 'NWA', 'HB', 'HB', 'HB', 'HB', 'HB']"
1953,2,"['NZ', 'NZ', 'NZ', 'NZ', 'NZ', 'NEA', 'NEA', 'NEA', 'TM', 'TM', 'TM', 'TM', 'TM', 'BM', 'BM', 'BM', 'BM', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'HM', 'HM', 'HM', 'HM']"
1954,2,"['HNFA', 'HNFA', 'HNFA', 'BM', 'BM', 'BM', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'WW', 'WW', 'WW', 'TB', 'TB', 'TB']"
1955,2,"['SZ', 'SZ', 'SZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'TM', 'TM', 'TM', 'TM', 'TM', 'TM', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA']"
